Division,Province,Total,URDU,PUNJABI,SINDHI,PUSHTO,BALOCHI,KASHMIRI,SARAIKI,HINDKO,BRAHVI,OTHERS,URDU_PCT,PUNJABI_PCT,SINDHI_PCT,PUSHTO_PCT,BALOCHI_PCT,KASHMIRI_PCT,SARAIKI_PCT,HINDKO_PCT,BRAHVI_PCT,OTHERS_PCT
Kalat,Balochistan,2513200,11136,6870,137176,43277,913757,2001,11174,1823,1319177,66809,0.44,0.27,5.46,1.72,36.36,0.08,0.44,0.07,52.49,2.66
Makran,Balochistan,1484788,6894,5178,10486,4426,1438267,3258,1549,1745,11467,1518,0.46,0.35,0.71,0.3,96.87,0.22,0.1,0.12,0.77,0.1
Nasirabad,Balochistan,1661077,5534,3355,322368,9138,845029,704,225927,2657,242498,3867,0.33,0.2,19.41,0.55,50.87,0.04,13.6,0.16,14.6,0.23
Quetta,Balochistan,4170194,61316,108983,39136,2744706,401506,9720,37166,26955,522645,218061,1.47,2.61,0.94,65.82,9.63,0.23,0.89,0.65,12.53,5.23
Sibi,Balochistan,963941,6653,7070,49855,271567,581743,804,36674,363,8467,745,0.69,0.73,5.17,28.17,60.35,0.08,3.8,0.04,0.88,0.08
Zhob,Balochistan,1541929,8995,7751,3288,1286419,197523,1316,14166,758,8041,13672,0.58,0.5,0.21,83.43,12.81,0.09,0.92,0.05,0.52,0.89
F.A.T.A.,FATA,4993044,24217,13759,5070,4913297,4193,3273,3756,1040,7926,16513,0.49,0.28,0.1,98.4,0.08,0.07,0.08,0.02,0.16,0.33
Islamabad,Islamabad,2003368,244930,1047131,15467,370653,2996,41914,42513,128237,2540,106987,12.23,52.27,0.77,18.5,0.15,2.09,2.12,6.4,0.13,5.34
Bannu,Khyber Pakhtunkhwa,2042815,10295,6489,2193,2010676,1851,1109,4576,1937,3398,291,0.5,0.32,0.11,98.43,0.09,0.05,0.22,0.09,0.17,0.01
Dera Ismail Khan,Khyber Pakhtunkhwa,2015714,35912,8238,1598,855553,1818,629,1106523,3213,1468,762,1.78,0.41,0.08,42.44,0.09,0.03,54.89,0.16,0.07,0.04
Hazara,Khyber Pakhtunkhwa,5323155,62634,35821,6976,1075586,7209,24493,4823,3016711,27887,1061015,1.18,0.67,0.13,20.21,0.14,0.46,0.09,56.67,0.52,19.93
Kohat,Khyber Pakhtunkhwa,2216600,16767,14479,2531,2028400,1752,2065,2769,143055,3849,933,0.76,0.65,0.11,91.51,0.08,0.09,0.12,6.45,0.17,0.04
Malakand,Khyber Pakhtunkhwa,7512607,25335,6257,4072,6739043,4679,7430,2555,10733,9395,703108,0.34,0.08,0.05,89.7,0.06,0.1,0.03,0.14,0.13,9.36
Mardan,Khyber Pakhtunkhwa,3998876,16371,15045,1669,3884093,1401,1769,3671,52061,3924,18872,0.41,0.38,0.04,97.13,0.04,0.04,0.09,1.3,0.1,0.47
Peshawar,Khyber Pakhtunkhwa,7399153,106788,77969,8025,6856715,4943,5316,10502,274354,12510,42031,1.44,1.05,0.11,92.67,0.07,0.07,0.14,3.71,0.17,0.57
Bahawalpur,Punjab,11452594,400435,4948890,96925,71960,75401,3265,5639940,56174,8239,151365,3.5,43.21,0.85,0.63,0.66,0.03,49.25,0.49,0.07,1.32
Dera Ghazi Khan,Punjab,11021214,378939,825833,10214,122763,809156,816,8851068,3666,6371,12388,3.44,7.49,0.09,1.11,7.34,0.01,80.31,0.03,0.06,0.11
Faisalabad,Punjab,14185231,347055,13625422,4424,100381,2071,9523,69434,8043,740,18138,2.45,96.05,0.03,0.71,0.01,0.07,0.49,0.06,0.01,0.13
Gujranwala,Punjab,16120861,328539,15462807,13015,177095,3520,31077,38800,11297,1338,53373,2.04,95.92,0.08,1.1,0.02,0.19,0.24,0.07,0.01,0.33
Lahore,Punjab,19389856,1515680,16802707,12615,350723,6271,27277,131892,68438,3273,470980,7.82,86.66,0.07,1.81,0.03,0.14,0.68,0.35,0.02,2.43
Multan,Punjab,19646238,1416247,12575198,10708,112315,11832,2694,5428063,12183,4890,72108,7.21,64.01,0.05,0.57,0.06,0.01,27.63,0.06,0.02,0.37
Rawalpindi,Punjab,10006624,634843,7389972,17815,958936,5566,106624,68358,485056,5815,333639,6.34,73.85,0.18,9.58,0.06,1.07,0.68,4.85,0.06,3.33
Sargodha,Punjab,8167037,332930,4998253,3982,283929,2087,2756,2520987,1644,1805,18664,4.08,61.2,0.05,3.48,0.03,0.03,30.87,0.02,0.02,0.23
Hyderabad,Sindh,10596049,1121140,268532,8720377,130780,74391,3305,91810,39435,38945,107334,10.58,2.53,82.3,1.23,0.7,0.03,0.87,0.37,0.37,1.01
Karachi,Sindh,16024894,6779142,1719636,1709877,2406011,648964,63784,798031,679539,96120,1123790,42.3,10.73,10.67,15.01,4.05,0.4,4.98,4.24,0.6,7.01
Larkana,Sindh,6190926,34881,22414,5819011,10219,119024,331,52713,3336,123348,5649,0.56,0.36,93.99,0.17,1.92,0.01,0.85,0.05,1.99,0.09
Mirpur Khas,Sindh,4224945,206472,149403,3769239,15011,21764,483,18485,6677,8582,28829,4.89,3.54,89.21,0.36,0.52,0.01,0.44,0.16,0.2,0.68
Sukkur,Sindh,10817696,566079,382928,9458260,51769,92373,1933,106712,24749,83019,49874,5.23,3.54,87.43,0.48,0.85,0.02,0.99,0.23,0.77,0.46
