Division,Province,Total,URDU,PUNJABI,SINDHI,PUSHTO,BALOCHI,KASHMIRI,SARAIKI,HINDKO,BRAHVI,OTHERS,URDU_PCT,PUNJABI_PCT,SINDHI_PCT,PUSHTO_PCT,BALOCHI_PCT,KASHMIRI_PCT,SARAIKI_PCT,HINDKO_PCT,BRAHVI_PCT,OTHERS_PCT
Kalat,Balochistan,2719964,3581,4198,82841,34395,975666,693,5635,2268,1591281,19406,0.13,0.15,3.05,1.26,35.87,0.03,0.21,0.08,58.5,0.71
Loralai,Balochistan,866932,1854,2293,599,608103,242231,262,5817,124,1546,4103,0.21,0.26,0.07,70.14,27.94,0.03,0.67,0.01,0.18,0.47
Makran,Balochistan,1873426,2703,1422,1548,1126,1861575,1916,407,259,1380,1090,0.14,0.08,0.08,0.06,99.37,0.1,0.02,0.01,0.07,0.06
Nasirabad,Balochistan,2044021,3594,2714,384889,7454,1127851,846,241724,2082,268630,4237,0.18,0.13,18.83,0.36,55.18,0.04,11.83,0.1,13.14,0.21
Quetta,Balochistan,3934961,59191,69147,30744,3011875,170246,2662,25582,19081,357448,188985,1.5,1.76,0.78,76.54,4.33,0.07,0.65,0.48,9.08,4.8
Rakhshan,Balochistan,1038530,783,396,419,33268,721878,385,935,134,280193,139,0.08,0.04,0.04,3.2,69.51,0.04,0.09,0.01,26.98,0.01
Sibi,Balochistan,1156748,4464,4311,53977,342012,710580,515,33431,116,6672,670,0.39,0.37,4.67,29.57,61.43,0.04,2.89,0.01,0.58,0.06
Zhob,Balochistan,927429,1079,1976,181,917012,1158,73,5523,140,7,280,0.12,0.21,0.02,98.88,0.12,0.01,0.6,0.02,0.0,0.03
Islamabad,Islamabad,2283244,358922,1154540,21362,415838,4503,51920,46270,140780,668,88441,15.72,50.57,0.94,18.21,0.2,2.27,2.03,6.17,0.03,3.87
Bannu,Khyber Pakhtunkhwa,3972786,6087,5819,758,3936738,3592,196,2126,746,2,16722,0.15,0.15,0.02,99.09,0.09,0.0,0.05,0.02,0.0,0.42
Dera Ismail Khan,Khyber Pakhtunkhwa,2293209,31617,5138,981,974574,1102,517,1275528,2925,6,821,1.38,0.22,0.04,42.5,0.05,0.02,55.62,0.13,0.0,0.04
Hazara,Khyber Pakhtunkhwa,6028211,92845,24188,1754,1247100,1222,3108,3529,3375171,1235,1278059,1.54,0.4,0.03,20.69,0.02,0.05,0.06,55.99,0.02,21.2
Kohat,Khyber Pakhtunkhwa,3748347,11841,10423,993,3563497,3584,421,1687,153530,64,4307,0.32,0.28,0.03,95.07,0.1,0.01,0.05,4.1,0.0,0.11
Malakand,Khyber Pakhtunkhwa,9946517,7542,2511,935,9049785,7707,597,313,22192,14,854921,0.08,0.03,0.01,90.98,0.08,0.01,0.0,0.22,0.0,8.6
Mardan,Khyber Pakhtunkhwa,4630922,5672,7166,687,4552852,3636,313,698,41373,24,18501,0.12,0.15,0.01,98.31,0.08,0.01,0.02,0.89,0.0,0.4
Peshawar,Khyber Pakhtunkhwa,10021128,104321,46240,3911,9595046,9793,1319,4319,219390,225,36564,1.04,0.46,0.04,95.75,0.1,0.01,0.04,2.19,0.0,0.36
Bahawalpur,Punjab,13371088,514906,5697091,151622,79147,94661,3156,6566769,101552,1558,160626,3.85,42.61,1.13,0.59,0.71,0.02,49.11,0.76,0.01,1.2
Dera Ghazi Khan,Punjab,12825040,399722,905763,7113,123691,935170,3906,10429398,3451,80,16746,3.12,7.06,0.06,0.96,7.29,0.03,81.32,0.03,0.0,0.13
Faisalabad,Punjab,16218013,667719,15309136,32578,101976,2812,7079,66334,5464,96,24819,4.12,94.4,0.2,0.63,0.02,0.04,0.41,0.03,0.0,0.15
Gujranwala,Punjab,18728207,882914,17412323,43260,212605,4554,21163,29182,5477,51,116678,4.71,92.97,0.23,1.14,0.02,0.11,0.16,0.03,0.0,0.62
Lahore,Punjab,22744477,3107867,18361640,46044,318981,5444,13984,71598,35576,708,782635,13.66,80.73,0.2,1.4,0.02,0.06,0.31,0.16,0.0,3.44
Multan,Punjab,10630708,1340536,3516085,9125,78150,7584,2733,5486800,13334,350,176011,12.61,33.07,0.09,0.74,0.07,0.03,51.61,0.13,0.0,1.66
Rawalpindi,Punjab,11289531,1172795,7795470,31910,1095368,6285,96889,57968,548618,508,483720,10.39,69.05,0.28,9.7,0.06,0.86,0.51,4.86,0.0,4.28
Sahiwal,Punjab,11945275,503048,10666925,19286,41427,4892,1070,657780,1263,102,49482,4.21,89.3,0.16,0.35,0.04,0.01,5.51,0.01,0.0,0.41
Sargodha,Punjab,9580966,553959,5645158,11748,336033,1922,5108,2916808,64932,53,45245,5.78,58.92,0.12,3.51,0.02,0.05,30.44,0.68,0.0,0.47
Hyderabad,Sindh,11657249,1290005,199809,9717871,125391,79088,1579,48331,82454,16823,95898,11.07,1.71,83.36,1.08,0.68,0.01,0.41,0.71,0.14,0.82
Karachi,Sindh,20357474,10315905,1645282,2264189,2752148,808352,50982,753903,653727,75993,1036993,50.67,8.08,11.12,13.52,3.97,0.25,3.7,3.21,0.37,5.09
Larkana,Sindh,7093706,13119,4906,6783246,11096,166134,165,16130,1793,92675,4442,0.18,0.07,95.62,0.16,2.34,0.0,0.23,0.03,1.31,0.06
Mirpur Khas,Sindh,4617387,217729,127111,4107522,16760,31329,85,14742,33060,5232,63817,4.72,2.75,88.96,0.36,0.68,0.0,0.32,0.72,0.11,1.38
Shaheed Benazirabad,Sindh,5928917,384911,229067,4965355,30325,81258,196,56110,48304,71013,62378,6.49,3.86,83.75,0.51,1.37,0.0,0.95,0.81,1.2,1.05
Sukkur,Sindh,5983676,188076,59296,5624116,20173,41986,242,24202,11243,4033,10309,3.14,0.99,93.99,0.34,0.7,0.0,0.4,0.19,0.07,0.17
