Name,Birth,Death,Language,Region,Province,Latitude,Longitude,Sufi_Order,Famous_Work,Description,Category,Image_URL
Bulleh Shah,1680,1757,Punjabi,Kasur,Punjab,31.115,74.45,Qadiri,Kafi Poetry,Renowned Punjabi Sufi poet known for spiritual poetry,Sufi Poet,
Shah Abdul Latif Bhittai,1689,1752,Sindhi,Bhit Shah,Sindh,25.805,68.49,Qadiri,Shah Jo Risalo,Great Sindhi Sufi poet and mystic,Sufi Poet,
Sultan Bahoo,1630,1691,Punjabi,Jhang,Punjab,31.27,72.32,Qadiri,Abyat-e-Bahoo,Major Punjabi Sufi poet and saint,Sufi Poet,
Sachal Sarmast,1739,1829,Sindhi,Daraza,Sindh,27.9,68.3,Qadiri,Sachal Jo Kalam,Sindhi mystic poet known for multilingual poetry,Sufi Poet,
Rehman Baba,1653,1711,Pashto,Peshawar,Khyber Pakhtunkhwa,34.0151,71.5249,Qadiri,Diwan-e-Rehman,Famous Pashto Sufi poet,Sufi Poet,
Khwaja Ghulam Farid,1845,1901,Saraiki,Chachran Sharif,Southern Punjab,28.76,70.3,Chishti,Diwan-e-Farid,Great Saraiki Sufi poet,Sufi Poet,
Mian Muhammad Bakhsh,1830,1907,Pahari-Punjabi,Mirpur,Azad Kashmir,33.15,73.75,Qadiri,Saif ul Malook,Famous mystic poet,Sufi Poet,
Lal Shahbaz Qalandar,1177,1274,Sindhi,Sehwan,Sindh,26.424,67.861,Qalandari,Poetry and Teachings,One of the most famous Sufi saints of South Asia,Sufi Poet,
Shah Inayat Shaheed,1655,1718,Sindhi,Jhok Sharif,Sindh,24.6,68.2,Sufi,Sindhi Poetry,Sindhi revolutionary Sufi saint,Sufi Poet,
Mast Tawakali,1825,1931,Balochi,Balochistan,Balochistan,28.5,65.1,Balochi Mysticism,Balochi Poetry,Important Balochi Sufi poet,Sufi Poet,
